#redshift   Hubble    error
   0.0700    69.00    19.60 
   0.1000    69.00    12.00 
   0.1200    68.60    26.20 
   0.1700    83.00     8.00 
   0.1791    75.00     4.00 
   0.1993    75.00     5.00 
   0.2000    72.90    29.60 
   0.2400    79.69     2.65 
   0.2700    77.00    14.00 
   0.2800    88.80    36.60 
   0.3000    81.70     6.22 
   0.3100    78.17     4.74 
   0.3500    82.70     8.40 
   0.3519    83.00    14.00 
   0.3600    79.93     3.39 
   0.3800    81.50     1.90 
   0.3802    83.00    13.50 
   0.4000    95.00    17.00 
   0.4004    77.00    10.20 
   0.4247    87.10    11.20 
   0.4300    86.45     3.68 
   0.4400    82.60     7.80 
   0.4497    92.80    12.90 
   0.4700    89.00    34.00 
   0.4783    80.90     9.00 
   0.4800    97.00    60.00 
   0.5100    90.40     1.90 
   0.5200    94.35     2.65 
   0.5600    93.33     2.32 
   0.5700    96.80     3.40 
   0.5900    98.48     3.19 
   0.5929   104.00    13.00 
   0.6000    87.90     6.10 
   0.6100    97.30     2.10 
   0.6400    98.82     2.99 
   0.6797    92.00     8.00 
   0.7300    97.30     7.00 
   0.7812   105.00    12.00 
   0.8754   125.00    17.00 
   0.8800    90.00    40.00 
   0.9000   117.00    23.00 
   1.0370   154.00    20.00 
   1.3000   168.00    17.00 
   1.3630   160.00    33.60 
   1.4300   177.00    18.00 
   1.5300   140.00    14.00 
   1.7500   202.00    40.00 
   1.9650   186.50    50.40 
   2.3300   224.00     8.00 
   2.3400   222.00     7.00 
   2.3600   226.00     8.00 
